household_id,income_bracket,household_size,has_children,is_glp1_user,glp1_start_month,discontinued
1,50-75K,2,False,False,,False
2,125K+,3,False,False,,False
3,100-125K,2,False,False,,False
4,75-100K,1,True,False,,False
5,<50K,1,False,False,,False
6,<50K,1,False,False,,False
7,<50K,1,False,False,,False
8,125K+,2,False,False,,False
9,75-100K,2,False,False,,False
10,100-125K,1,False,False,,False
11,<50K,1,False,False,,False
12,125K+,1,False,False,,False
13,125K+,5,False,False,,False
14,<50K,2,False,True,4.0,False
15,<50K,4,False,False,,False
16,<50K,4,False,False,,False
17,50-75K,2,True,False,,False
18,75-100K,3,True,False,,False
19,50-75K,1,False,False,,False
20,50-75K,3,True,False,,False
21,75-100K,1,False,False,,False
22,<50K,4,False,True,3.0,False
23,50-75K,1,False,False,,False
24,50-75K,3,False,False,,False
25,50-75K,1,False,False,,False
26,100-125K,4,False,False,,False
27,<50K,2,True,True,4.0,False
28,75-100K,3,False,False,,False
29,75-100K,2,False,False,,False
30,<50K,2,True,False,,False
31,75-100K,3,False,False,,False
32,<50K,5,True,False,,False
33,<50K,1,False,True,6.0,True
34,125K+,4,False,False,,False
35,125K+,2,False,True,3.0,True
36,100-125K,4,False,False,,False
37,50-75K,2,False,False,,False
38,<50K,2,True,False,,False
39,100-125K,4,True,False,,False
40,50-75K,2,True,False,,False
41,<50K,2,False,False,,False
42,75-100K,1,True,False,,False
43,<50K,1,False,False,,False
44,125K+,3,False,False,,False
45,50-75K,3,False,False,,False
46,75-100K,2,False,False,,False
47,50-75K,1,True,False,,False
48,75-100K,2,False,False,,False
49,75-100K,2,False,False,,False
50,<50K,2,False,False,,False
51,125K+,4,False,True,1.0,False
52,100-125K,3,False,False,,False
53,125K+,1,False,False,,False
54,125K+,4,False,False,,False
55,75-100K,2,True,False,,False
56,125K+,3,False,False,,False
57,<50K,1,False,False,,False
58,<50K,3,True,False,,False
59,<50K,1,False,True,6.0,False
60,50-75K,2,False,False,,False
61,50-75K,1,False,False,,False
62,50-75K,1,True,False,,False
63,125K+,1,False,True,2.0,False
64,50-75K,1,True,True,9.0,False
65,50-75K,1,False,False,,False
66,75-100K,3,True,False,,False
67,<50K,1,True,False,,False
68,100-125K,2,True,False,,False
69,<50K,1,False,False,,False
70,125K+,5,False,True,6.0,True
71,100-125K,5,True,False,,False
72,<50K,1,True,False,,False
73,<50K,2,False,False,,False
74,100-125K,1,False,False,,False
75,100-125K,5,False,False,,False
76,100-125K,2,False,True,1.0,False
77,100-125K,1,False,False,,False
78,<50K,2,True,False,,False
79,50-75K,1,False,False,,False
80,<50K,2,False,False,,False
81,125K+,3,False,False,,False
82,75-100K,2,False,True,11.0,False
83,50-75K,2,False,True,4.0,True
84,<50K,1,False,False,,False
85,50-75K,1,False,False,,False
86,50-75K,1,True,False,,False
87,100-125K,4,False,True,5.0,False
88,75-100K,1,False,False,,False
89,125K+,2,False,False,,False
90,75-100K,2,True,False,,False
91,<50K,1,False,False,,False
92,100-125K,3,False,False,,False
93,100-125K,2,True,True,12.0,False
94,75-100K,2,False,False,,False
95,100-125K,2,False,True,8.0,False
96,75-100K,2,False,True,3.0,True
97,75-100K,2,False,False,,False
98,50-75K,2,True,False,,False
99,<50K,3,False,False,,False
100,<50K,1,False,False,,False
101,<50K,2,False,False,,False
102,75-100K,1,True,False,,False
103,50-75K,1,True,True,11.0,False
104,75-100K,2,True,False,,False
105,125K+,4,False,False,,False
106,50-75K,4,True,False,,False
107,50-75K,1,True,True,9.0,False
108,100-125K,2,False,True,9.0,True
109,50-75K,2,False,False,,False
110,<50K,1,True,False,,False
111,50-75K,3,True,False,,False
112,<50K,3,True,False,,False
113,125K+,4,False,True,12.0,False
114,100-125K,1,True,False,,False
115,75-100K,1,False,False,,False
116,125K+,4,True,False,,False
117,100-125K,3,True,False,,False
118,<50K,4,False,False,,False
119,125K+,1,True,False,,False
120,75-100K,2,True,False,,False
121,100-125K,2,False,False,,False
122,125K+,1,False,True,10.0,True
123,50-75K,2,False,False,,False
124,<50K,2,True,False,,False
125,50-75K,1,False,False,,False
126,50-75K,1,False,False,,False
127,100-125K,3,False,True,11.0,False
128,125K+,2,False,False,,False
129,<50K,4,False,False,,False
130,75-100K,2,True,False,,False
131,50-75K,1,True,False,,False
132,50-75K,5,True,False,,False
133,<50K,4,False,False,,False
134,50-75K,1,False,False,,False
135,125K+,3,False,False,,False
136,50-75K,1,True,True,5.0,False
137,75-100K,1,False,False,,False
138,100-125K,1,False,False,,False
139,50-75K,1,False,False,,False
140,125K+,4,False,False,,False
141,125K+,3,False,False,,False
142,50-75K,5,False,False,,False
143,75-100K,3,False,False,,False
144,50-75K,2,False,False,,False
145,50-75K,3,False,True,4.0,False
146,<50K,5,False,False,,False
147,75-100K,3,False,False,,False
148,75-100K,3,True,False,,False
149,<50K,5,False,False,,False
150,50-75K,1,True,False,,False
151,125K+,3,True,False,,False
152,50-75K,4,True,False,,False
153,<50K,5,False,False,,False
154,75-100K,1,True,False,,False
155,125K+,2,False,False,,False
156,50-75K,3,False,False,,False
157,100-125K,1,False,False,,False
158,100-125K,2,True,False,,False
159,50-75K,1,True,False,,False
160,100-125K,2,False,False,,False
161,50-75K,2,True,True,7.0,True
162,75-100K,2,False,False,,False
163,75-100K,2,False,False,,False
164,75-100K,2,True,False,,False
165,<50K,2,False,False,,False
166,125K+,1,False,False,,False
167,50-75K,1,False,False,,False
168,<50K,1,False,False,,False
169,<50K,2,False,False,,False
170,75-100K,3,False,False,,False
171,100-125K,1,False,False,,False
172,<50K,1,False,False,,False
173,75-100K,3,False,False,,False
174,50-75K,2,False,False,,False
175,75-100K,5,False,False,,False
176,<50K,3,False,False,,False
177,100-125K,2,True,False,,False
178,50-75K,2,False,False,,False
179,125K+,2,False,False,,False
180,<50K,1,False,False,,False
181,50-75K,1,True,False,,False
182,<50K,1,False,False,,False
183,125K+,3,True,False,,False
184,125K+,2,True,False,,False
185,50-75K,1,False,False,,False
186,75-100K,3,False,False,,False
187,100-125K,2,True,False,,False
188,75-100K,2,False,False,,False
189,75-100K,1,False,True,9.0,False
190,50-75K,2,False,False,,False
191,<50K,5,False,False,,False
192,125K+,1,True,False,,False
193,125K+,2,False,False,,False
194,75-100K,1,False,False,,False
195,50-75K,1,False,False,,False
196,50-75K,2,False,False,,False
197,100-125K,4,False,False,,False
198,125K+,4,False,False,,False
199,125K+,1,False,False,,False
200,100-125K,2,False,False,,False
201,75-100K,3,False,False,,False
202,<50K,2,False,False,,False
203,<50K,2,False,False,,False
204,125K+,1,False,True,6.0,False
205,75-100K,2,False,False,,False
206,<50K,2,True,False,,False
207,<50K,4,False,False,,False
208,75-100K,3,False,False,,False
209,<50K,1,True,False,,False
210,<50K,1,False,False,,False
211,75-100K,4,False,True,7.0,False
212,100-125K,2,True,False,,False
213,75-100K,4,False,False,,False
214,50-75K,1,False,False,,False
215,100-125K,2,False,False,,False
216,50-75K,2,True,False,,False
217,50-75K,4,True,False,,False
218,100-125K,1,True,False,,False
219,75-100K,1,True,False,,False
220,125K+,2,True,False,,False
221,75-100K,4,False,False,,False
222,75-100K,5,False,False,,False
223,<50K,5,False,False,,False
224,50-75K,5,True,False,,False
225,50-75K,1,False,False,,False
226,50-75K,1,False,True,1.0,True
227,125K+,1,False,False,,False
228,50-75K,2,False,False,,False
229,125K+,4,False,False,,False
230,75-100K,4,True,False,,False
231,100-125K,1,False,False,,False
232,75-100K,2,False,False,,False
233,75-100K,4,False,False,,False
234,75-100K,2,False,False,,False
235,<50K,1,False,False,,False
